Job Description,Minimum Qual Requirements,Preferred Skills,Additional Information,To Apply,Hours/Shift,Work Location,Residency Requirement,Recruitment Contact,jobNum
441948
"The New York City Administration for Children’s Services (ACS) is seeking a new hire to serve as a Locksmith within the Building Operations Unit for the ACS Division of Administration. The selected candidate will become an integral member of the rapid facility maintenance, setup, and safe condition restoration support teams at the Secure Juvenile Detention Centers located in the Bronx and Brooklyn. Under direct supervision, the Locksmith does work relating to installation, maintenance and repair of locks and locking devices.

Specific responsibilities include but are not limited to:

• Supervise the work of assigned personnel.
• Remove, replace, maintain, repair and adjust all types of locks and locking devices, including panel locks, vertical rod locking devices, cell block and prison cell locks, locker
and cabinet locks, and safe and other combination locks.
• Install locks and locking devices on wood and metal doors, kalamein doors, classroom doors, steel file cabinets and lockers, and on cell doors, gates, corridors, enclosures, etc., in prisons and detention areas.
• Repair lock stile in wood, metal and kalamein doors, and make necessary repairs to jambs and hang stiles to reinforce hinges for proper operation of doors and locks.
• Open, repair and drill safes and changing combinations.
• Make keys with or without duplicating and key change numbers.
• Open and change keys, if required.
• Set up and change key combinations and changes cylinders.
• Make keys to fit grand master, group master and floor master combinations.
• Instruct designated personnel in the operation of the key control system.
• Keep records such as inventory records and prepare material requisitions.","1. Five years of full-time satisfactory experience as a locksmith acquired within the last ten years; or
2. Three years of such experience plus sufficient related and approved educational training or full-time satisfactory experience as a locksmith apprentice or trainee to make a total of five years of experience. Six months of acceptable experience will be credited for each year of related and approved educational training or full-time experience as a locksmith apprentice or trainee; or
3. Education and/or experience which is equivalent of ""1"" or ""2"" above. However, all candidates must have at least three years of experience as described in ""1"" above.
License Requirements
At the time of appointment, candidates must possess a valid New York City Locksmith License. This license must be maintained for the duration of employment.","• Ability to use computerized maintenance management system software and New York City/Administration for Children’s Services applications for timekeeping and performance evaluations
• Good recordkeeping
• Ability for critical and analytical thinking","Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a candidate for employment with child-caring responsibilities has been the subject of a child abuse and maltreatment report.

The City of New York and the Administration for Children’s Services are Equal Opportunity Employers Committed to Diversity","Click the “Apply Now"" button.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",441064
"The New York City Administration for Children’s Services (ACS) is seeking outstanding candidates to serve as Engagement Specialists for the Nicholas Scoppetta Children’s Center (NSCC). Reporting to the Placement Manager, the selected candidate will become an integral member of the Nicholas Scoppetta Children’s Center team for one of the country’s premier children’s services agencies dedicated to strengthening NYC’s families and their 1.8 million children. The incumbent will be responsible but not limited to:

• Under direct supervision, oversee the care, development and guidance of dependent, neglected, traumatized and emotionally disturbed children at the Children’s Center
• Create a welcoming, trauma informed environment for all children entering and exiting the Children’s Center
• Conduct individual and group orientation to youth to support NSCC program expectations, and transition to placement
• Closely supervise youths at congregate care facilities, non-secure detention facilities and during sponsored visits and activities
• Chaperone and/or transport youths to and from appointments, school, activities, court appearances and other community based activities
• Participate and assist in planning group and individual activities
• Monitor and supervises children in assigned areas
• Intervene in crisis situations by assessing imminent danger, and attempts appropriate de-escalation intervention where applicable
• Assist children with personal hygiene when necessary
• Conduct inspections and inventory of children’s property upon entering and departing from the Children’s Center and upon administrative request
• Observe changes in behavior and reports aberrations
• Communicate with and directs inquiries to other members of the inter-disciplinary team to provide comprehensive care for all children and youths
• Answer phones, provides requested information or directs inquiries to appropriate staff
• Complete required log entries, tracking sheets, incident reports and other relevant documentation which supports the monitoring of youth admission, youth exiting and released from Children&#39;s center
• Participate in regular team meetings, all required trainings, and quality control initiatives in case conferences
• Assist children and youth with homework, arts and crafts and other engaging activities
• Prepare meals, when necessary
• Shop for clothing, supplies and materials as necessary
• Communicate to the supervisor all issues in a timely manner
• May be required to work various shifts including holidays, weekends and overnights","Qualification Requirements
1. High school graduation or equivalent and three years of experience in community work or community centered activities in an area related to duties described above; or
2. Education and/or experience which is equivalent to ""1"" above.","Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a candidate for employment with child-caring responsibilities has been the subject of a child abuse and maltreatment report.

The City of New York and the Administration for Children’s Services are Equal Opportunity Employers Committed to Diversity.","Click on the ""Apply to"" button","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",440199
"The Administration for Children’s Services (ACS) protects and promotes the safety and well-being of New York City’s children and families by providing child welfare, juvenile justice, and early care services. In child welfare, ACS contracts with private nonprofit organizations to support and stabilize families at risk of a crisis through preventive services and provides foster care services for children not able to safely remain at home. Each year, the agency’s Division of Child Protection conducts more than 55,000 investigations of suspected child abuse or neglect. In juvenile justice, ACS manages and funds services including detention and placement, intensive community-based alternatives for youth, and support services for families. In early care, ACS coordinates and funds programs and vouchers for close to 100,000 children eligible for subsidized care.

The Office of Human Resources provides employment services and resources to internal and external customers in a courteous, professional and accessible manner. Our goal is to recruit and retain a talented driven workforce to further the mission of protecting and promoting the safety and well-being of New York City’s children and families by providing child welfare, juvenile justice, and early care and education services. The Office of Human Resources is seeking an experienced professional to serve as a Human Resources Business Partner Associate.

The Human Resources Business Partner Associate will serve as a HR liaison and will facilitate the flow of information and human resources activities between the divisions, the Office of Human Resources and PS Budget. The HR Business Partner Associate will ensure that programmatic support, staffing, organizational needs and agency goals are efficiently and expeditiously met. The incumbent will report to the HR Business Partner and will be responsible for the following duties and responsibilities:

•   Communicate with stakeholders: HR, PS Budget and divisions’ leadership during meetings and other fact-finding sessions to secure information and explore options needed for optimal operational efficiency, expediting actions where possible.
•   Advise and educate division leadership on critical staffing problems, i.e., promotions, hires, ensuring that the impact of such actions are within contractual agreements and approved budgetary and headcount constraints.
•   In collaboration, identify, analyze, assess, and review the impact of existing and/or new policies and practices to designated division’s operations and ensure adherence and uniform implementation with the division’s various units.
•   Alert the Offices of Human Resources and PS Budget concerning non-compliance to human resources and PS Budget policies and procedures.
•   Partner and collaborate with other Human Resources leaders and/or key operational/programmatic leaders, in order to culturally enhance the work environment and create and establish technically sound business principles and practices.
•   Recommend and work with the Offices of Employment Law Unit (ELU), Equal Employment Opportunity (OEEO) and Human Resources to develop solutions for employee relation conflicts, and problematic areas; help develop ideas to prevent and manage conflicts, in addition to, assist with improving departmental and organizational structures.
•   Act in the role of principal resource to key executive staff within the assigned areas of responsibility; assist and/or advise them in both short and long range planning for staffing needs in order to meet their operational goals and objectives within headcount and budgetary constraints. Provide advice and consultation to division heads when planning reorganizations or new operational components, to ensure that labor management agreements, mayoral vacancy notices, ads and recruitment flyers are in place to effectively implement programmatic planning.
•   Interprets Civil Service rules and regulations and HR policies accurately and ensures their consistent and practical application throughout.
•   Serve as the point person as human resources and labor relations expert with the programmatic purview and liaise with labor relations when activities and issues need to be elevated.
•   Serve as HR advisor and expert in HR related matters.
•   Assist HR Business Partner with assignments and projects.
•   Provide training to division leadership on HR matters.

Core Competencies

• Accountability and Professionalism – Demonstrates enthusiasm for and commitment to the position and accepts responsibility for personal actions

• Customer Service – Commits to meeting the expectations of internal and external customers. Listens and responds effectively to customer questions; resolves customer problems to the customer’s satisfaction; respects all internal and external customers

• Collaboration and Teamwork – Supports a positive team environment in which members participate, respect and cooperate with each other to receive desired results

• Job-Specific Knowledge and Skills – Effective understanding of Civil Service rules and regulations. Plans, prioritizes, and organizes work effectively to produce measurable results; keeps current with and effectively applies new work methods, skills and technologies to complete work at highest possible standards","1. A baccalaureate degree from an accredited college and two years of experience in community work or community centered activities in an area related to the duties described above; or
2. High school graduation or equivalent and six years of experience in community work or community centered activities in an area related to the duties as described above; or
3. Education and/or experience which is equivalent to ""1"" or ""2"" above. However, all candidates must have at least one year of experience as described in ""1"" above.","Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a candidate for employment with child-caring responsibilities has been the subject of a child abuse and maltreatment report.

Job Vacancy Notice has been reposted. Previous applicants do not need to reapply.

The City of New York and the Administration for Children’s Services are Equal Opportunity Employers Committed to Diversity.","Click on the ""Apply to"" button","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",429488
"The Records and Compliance Unit (RCU) is responsible for processing all requests for Administration Children's Services (ACS) records of closed child protective investigations that are conducted in accordance with Social Services Law section 422. FOIL requests are often received from individual citizens; law firms; media outlets, politicians, or contractors. RCU staff also provide litigation support to the NYC Law Department when needed to defend the lawsuits brought against The City of New York and ACS. The Agency’s Records and Management Unit (RMU), which provides records management assistance to the Agency, is within the RCU.

Under direction and supervision of the Associate General Counsel/Director of Records and Compliance Unit, the duties of the Community Assistant candidate include, but may not be limited, to the following:

• Assist the Director of the Unit, FOIL Officer, Privacy Officer and other attorneys in the unit with managing phone calls from the public about record requests and other matters including request made pursuant to the Child’s Victims Act;
• Assist the Privacy Officer in speaking with members of the community to educate about Identifying Information, the usage of such information, how to protect it and how to rectify if improperly disclosed;
• Provide administrative support to the Director in maintaining databases to track over time usage, logistics, meeting schedules, preparing evaluations, developing protocols, and other tasks related to the records warehouse facility;
• Create and update Excel Spreadsheets and other electronic documents to track record requests, FOIL requests, and matters dealing with the Identifying Information Law;
• Review, prepare, and copy reports needed;
• Review and redact Social Services records;
• Write and edit correspondence for Unit Staff;
• Photocopy and mail records for Unit Staff;
• Perform other related tasks and special projects as directed.","1. There are no formal education or experience requirements for this position. However, the ability to understand and carry out simple instructions is required.
2. Candidates must be able to understand and be understood in English.",Microsoft Office programs; General internet research skills,"Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a candidate for employment with child-caring responsibilities has been the subject of a child abuse and maltreatment report.

The City of New York and the Administration for Children’s Services are Equal Opportunity Employers Committed to Diversity","Click on the ""Apply Now"" button.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",441934
"The Food Services Unit within the Division of Administration provides quality control to ensure the use of approved menus and to maintain compliance with DOHMH and OCFS health, as well as safety standards in the preparation and serving of food at the Nicholas Scoppetta Children’s Center and at the DYFJ Secure and Non-Secure Detention sites. This unit operates 2 full-service kitchens which provide daily nutritious meals and snacks for children and youth who are awaiting foster placement.

Under the direct supervision of the Senior Cook and the Cook, the Cook Helper is responsible for assisting in the preparation and serving of food in an institution in accordance with the New York City Food Standards, Executive Order 122, and performing related duties. This position requires knowledge of sanitary codes applicable to meal preparation, food handling and cleaning.  The Cook Helper must provide professional and courteous service to all staff, residents, and co-workers.  Consistent and reliable cook helpers are required to assist in the preparation of food that provides physical nourishment and contributes to a sense of emotional well-being to children and youth in the care of ACS. The responsibilities include but are not limited to:

• Prepare raw ingredients for cooking in order to assist cooks in meal preparation
• Maintain cleanliness of the assigned areas in order to provide residents with a safe and sanitary dining environment
• Maintain inventory and security of supplies and equipment
• Assist stock workers in the inspection and weighing of foods that are delivered; while ensuring quality and verifying quantity
• Serve food to residents and youth while maintaining portion control
• Monitor security of the refrigeration and storage areas to limited","Qualification Requirement
Ability to read and write English and to understand and carry out simple instructions.","• Ability to read and write English
• Ability to work well under pressure and in fast-paced environment
• Excellent written and oral communication skills
• Able to maintain professional relationship with clients, co-workers, and facility staff
• Strong knowledge of proper food handling procedures","Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a candidate for employment with child-caring responsibilities has been the subject of a child abuse and maltreatment report.

The City of New York and the Administration for Children’s Services are Equal Opportunity Employers Committed to Diversity","Click on the ""Apply Now"" Button","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",441206
"The Food Services Unit within the Division of Administration provides quality control to ensure the use of approved menus and to maintain compliance with DOHMH and OCFS health, as well as safety standards in the preparation and serving of food at the Nicholas Scoppetta Children’s Center and at the DYFJ Secure and Non-Secure Detention sites. This unit operates 2 full-service kitchens which provide daily nutritious meals and snacks for children and youth who are awaiting foster placement.

Under the direct supervision of the Senior Cook and the Cook, the Cook Helper is responsible for assisting in the preparation and serving of food in an institution in accordance with the New York City Food Standards, Executive Order 122, and performing related duties. This position requires knowledge of sanitary codes applicable to meal preparation, food handling and cleaning.  The Cook Helper must provide professional and courteous service to all staff, residents, and co-workers.  Consistent and reliable cook helpers are required to assist in the preparation of food that provides physical nourishment and contributes to a sense of emotional well-being to children and youth in the care of ACS. The responsibilities include but are not limited to:

• Prepare raw ingredients for cooking in order to assist cooks in meal preparation
• Maintain cleanliness of the assigned areas in order to provide residents with a safe and sanitary dining environment
• Maintain inventory and security of supplies and equipment
• Assist stock workers in the inspection and weighing of foods that are delivered; while ensuring quality and verifying quantity
• Serve food to residents and youth while maintaining portion control
• Monitor security of the refrigeration and storage areas to limited","Qualification Requirement
Ability to read and write English and to understand and carry out simple instructions.","• Ability to read and write English
• Ability to work well under pressure and in fast-paced environment
• Excellent written and oral communication skills
• Able to maintain professional relationship with clients, co-workers, and facility staff
• Strong knowledge of proper food handling procedures","Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a candidate for employment with child-caring responsibilities has been the subject of a child abuse and maltreatment report.

The City of New York and the Administration for Children’s Services are Equal Opportunity Employers Committed to Diversity","Click on the ""Apply Now"" Button","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",441207
"The Stock Worker enables ACS to provide the daily meals by accurately ordering and preventing food shortages or spoilage. This position will assist in a variety of administrative tasks throughout the Food Service areas.  This position is required to accommodate the increased food inventory and ordering what will be necessary due to increased population from RTA at Horizon and the resultant resident consolidation at Crossroads.

The primary duties will include, but are not limited to the following:

• Menu-based food ordering for all food service locations
• Accurate record keeping of inventory
• Receipt, storage, care and distribution of food items and kitchen supplies and equipment
• Packs, unpacks, counts, weighs, measures materials, supplies, and equipment
• Liaise with DCAS Food Inspector regarding acceptance/rejection of deliveries
• Load and unload at the point of pickup or delivery, or distribution
• Operate equipment necessary to perform loading and unloading
• Check materials received against orders and invoices, and notes breakage, error, and discrepancies in quantity
• Pick supplies from shelves to fill requisitions, lifting and carrying supplies when necessary
• Keep records and assist in preparing inventories
• Maintain or assist in the maintenance of perpetual inventories and detailed inventory records and receiving reports
• Maintain clean and sanitary storage areas, pantries, refrigerators, and freezers at all food service locations","Qualification Requirements
There are no formal education or experience requirements for this position.","• High school diploma/GED
• 1+ year of full-time satisfactory experience performing stock-keeping activities
• Ability to lift up to 50 pounds and to lean, stoop, and bend
• Able to maintain professional relationship with clients, co-workers, and facility staff
• Organizational and basic office skills, including computer, data entry, and word processing skills
• NYC Food Handler’s Certificate or must be able to pass NYCDOH Food Handler’s Certificate Course within 30 days of employment","Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a candidate for employment with child-caring responsibilities has been the subject of a child abuse and maltreatment report.

The City of New York and the Administration for Children’s Services are Equal Opportunity Employers Committed to Diversity.","Click on the ""Apply to"" button.","17 Bristol Street, Brooklyn, NY
560 Brook Avenue, Bronx, NY","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",441222
"The Administration for Children’s Services is currently seeking qualified applicants for the position of
Youth Development Specialist (YDS). This position is an integral part of an interdisciplinary team
responsible for the custody, direct care, supervision, counseling, and accountability of youths in the
custody of the Administration for Children’s Services in juvenile detention facilities. Youth Development
Specialists, under direct supervision during an assigned tour of duty, will perform the following duties:

• Facilitate, engage and support youth in all activities, including school, wake-up and bedtime routines,
meals, chores, recreation, religious services, court preparation, court attendance, family visits, health
care visits and other activities as necessary.
• Facilitate youth learning of pro-social, academic, and vocational skills.
• Mentor and guide youth individually and in groups while using a behavior management system to shape
youth behavior.
• Facilitate youth group meetings in the residential unit and elsewhere.
• Address conflicts with crisis intervention methods such as verbal de-escalation, reframing strategies,
and physical de-escalation techniques, using the least amount of physical intervention necessary.
• May serve as part of a rapid response team to respond to emergency situations.
• Work with youth to provide gang remediation activities and anti-bullying and violence reduction
interventions.
• As part of an interdisciplinary team, develop individualized and group treatment, programming, and
safety plans and support for academic achievement.
• Follow all policies and procedures including health, safety, and security protocols such as those
concerning searches, headcounts, bed checks, intervention in volatile situations, the use of restraints,
and others.
• Observe youth closely and record observations.
• Complete required reports on attendance, incidents, and behavior observations.
• Participate in youth admission and orientation processes.
• Drive transport vehicles and ensure youth safety in vehicles and court detention rooms.","1. 1. A four year high school diploma or its educational equivalent approved by a State’s department of education or a recognized accrediting organization, and two years of full-time satisfactory experience working directly with juveniles or young adults (ages 10-24) in a group, community, educational, or institutional setting or program performing recreational, juvenile detention, vocational, mentoring, or anti-violence work; or youth leadership development, young adult leadership development, youth and family health promotion, community organizing with youth and families, and/or closely related activities, which can include internships, volunteer work, athletic programs, or closely related experience; or

2. An associate degree from an accredited college or completion of 60 semester credits of study at an accredited college, including or supplemented by one year and three months of full-time satisfactory experience as described in “1” above; or

3. An associate degree from an accredited college or completion of 60 semester credits of study at an accredited college, including or supplemented by 12 semester credits in social work, counseling, education, recreation, criminal justice, psychology, biology, sociology, human services or a closely related field; and nine months of full-time satisfactory experience as described in “1” above; or

4. A baccalaureate degree from an accredited college including or supplemented by at least six months experience as described in “1” above; or

5. A baccalaureate degree from an accredited college including or supplemented by 12 semester credits in social work, counseling, education, recreation, criminal justice, psychology, biology, sociology, human services or a closely related field; or

6. A satisfactory combination of education and/or experience equivalent to “1”, “2”, or “3” above:
a. Honorable full-time United States military service commanding young adults (up to age 24) may be substituted for experience as described in “1” above, on a year-for-year basis, up to a maximum of two years of military service for two years of experience;
b. Academic coursework in social work, counseling, education, recreation, criminal justice, psychology, biology, sociology, human services or a closely related field may be substituted for experience as described in “1” above, at the rate of 12 semester credits from an accredited college for 6 months of experience;
c. General undergraduate education may be substituted for experience as described in “1” above, at the rate of 60 semester credits from an accredited college for 9 months of experience;

However, all candidates must possess a four year high school diploma or its educational equivalent.","Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a
candidate for employment with child-caring responsibilities has been the subject of a child abuse and
maltreatment report.
Note: It is important that you have filed for, take and pass the Open Competitive exam# 0192 for the civil
service title listed above in order to avoid being “bumped” out of your position when the Eligible List for
this title is established.
The City of New York and the Administration for Children’s Services are Equal Opportunity Employers
Committed to Diversity.","Click on the ""Apply Now"" button.",New York City Residency is not required for this position,441667
"The NYC Administration for Children’s Services (ACS) is the City’s agency responsible for child welfare, juvenile justice, and early care and education services and is dedicated to protecting, supporting and promoting the well-being of our City’s children, youth and families each and every day.   The Division of External Affairs serves as the public interface for ACS with the general public, stakeholders, elected officials, other City agencies and the media. The Office of Communications, which is within the division, is responsible for handling all inquiries from the press, as well as overseeing all internal communications for nearly 7,000 staff. The Office handles a high volume of inquiries from reporters, members of the public, stakeholders, etc. and is responsible for communicating complex, confidential and nuanced issues with clarity and accuracy, under the direction of the Commissioner.

The Press Secretary’s job duties and responsibilities will include, but not be limited to:

• Serve as the lead contact for NYC Administration for Children’s Services in responding to calls from the press;
• Expeditiously draft responses to press inquiries and work with ACS Communications Team, Deputy Commissioners, ACS Commissioner and City Hall to finalize communications, sometimes on nights and weekends.
• Draft agency press releases, media statements, Op-eds, letters to the editor, and other external communications. ;
• Build relationships with members of the press;
• Pitch proactive stories to the press highlighting the programs and initiatives of the agency;
• Arrange interviews with the press and prepare the Commissioner and other senior staff for all media interaction;
• Assist the Communications Director with strategizing proactive and reactive media approaches;
• Plan and implement press conferences and announcements, including drafting the Commissioner’s remarks for media events;
• Manage the Deputy Press Secretaries and ensure all daily and local newspapers are reviewed on a daily basis to identify direct stories relating to the Agency and relevant policy areas, as well as stories that generate new ideas and creativity; share relevant coverage with appropriate agency teams;
• Manage the collection of information in a timely manner from senior ACS managers;
• Assist with development of content for social media;
• Communicate effectively orally and in writing to internal and external parties.","1. A Baccalaureate degree from an accredited college with 24 credits in English, journalism or public relations, plus five (5) years of full-time paid experience in public relations, journalism or advertising, including two (2) years in an administrative, supervisory or consultative capacity; or
2. A combination of education and/or experience which is equivalent to ""1"" above. Graduate study in English, journalism, or public relations may be substituted for up to one year of required experience. However, all candidates must have at least two (2) years of administrative, supervisory, or consultative experience in public relations, journalism or advertising.","Prior NYC government experience or experience with social or youth services strongly preferred. Preference will be given to candidates with experience in journalism, media relations, communications or public relations, handling calls from the press.  Capability of multi-tasking and handling high-stress situations; Ability to thrive in a high-volume, deadline driven environment
Self-directed with the proven ability to take initiative as a problem-solver; Ability to understand and communicate information about sensitive child welfare issues; Ability to collaborate under varying degrees of supervision.","NOTE: This position is open to qualified persons with a disability who are eligible for the 55-a Program.  Please indicate in your cover letter that you would like to be considered for the position under the 55-a Program.


Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a candidate for employment with child-caring responsibilities has been the subject of a child abuse and maltreatment report.

The City of New York and the Administration for Children’s Services are Equal Opportunity Employers Committed to Diversity","Click ""Apply Now"" button","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",440110
"The Administration for Children’s Services (ACS) Office of Child and Family Health (OCFH) delivers direct medical services to children entering foster care and ensures that the physical and mental health care provided is comprehensive and appropriate. OCFH offers individualized case consultations and training to ACS and foster care agencies on a variety of health-related topics. The office also conducts research and provides clinical expertise in developing health and mental health policies that support best case practice agency wide including Child Welfare Programs, Youth and Family Justice, and Child and Family Well-Being. Within the OCFH, the Pre-Placement Nursing Services Unit is responsible for the day to day nursing functions at the Children’s Center pre-placement program, and ACS’s borough office medical units (Bronx, Queens, and Brooklyn). Providing 24/7 coverage, the unit will complete physical assessments for all children entering foster care and direct primary care for a comprehensive range of symptoms and illnesses.

Under the Director of Nursing, Pre-Placement Nurses will be responsible for but not limited to:

• Arrange follow up appointments; referrals where appropriate.
• Verify that all children have necessary medications and equipment at the time of placement.
• Assess physical and mental health care needs of ACS served foster care children as they enter care and on an on-going basis by providing age-appropriate health services.
• Provide comprehensive physical assessments and correctly identify the need for emergency treatment, next day follow-up care or ongoing medical needs.
• Directly administer medications.
• Conduct consultations in safe medication administration and management to child care staff and foster parents.
• Consult, refer, and collaborate with other disciplines involved in the care of children.
• Provide adequate and appropriate transfer of information when children are transferred to a placement or referred to another health care provider.
• As a member of a health care team and the broader professional team, develop/implement and monitor a comprehensive patient care program.
• Participate in departmental and inter-disciplinary conferences and meetings pertaining to policies and procedures affecting nursing practice.
• Implement treatment protocols, procedures, and other orders and instructions from the Director of Nursing and other clinical authorities.
• Conduct patient education, training to new foster parents of medically fragile children, and collaborate with foster care agencies to obtain Visiting Nurse services for foster families who care for children with special needs.
• Train ACS and contracted agency staff on medical education.",1. A valid New York State Registered Nurse License.,"The preferred candidate should possess the following: a minimum of (3) years recent nursing experience in a clinical setting (hospital or ambulatory care) or primary health care, experience with applicable computer-based software (Word, Excel, Access), and specific experience in pediatric and adolescent nursing. Registered nurses with experience in pediatric or adolescent psychiatry or in child welfare are highly preferred. A valid New York State registered Nurse License, Bachelor’s Degree of Science in Nursing and MSN preferred.","Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a candidate for employment with child-caring responsibilities has been the subject of a child abuse and maltreatment report.

The City of New York and the Administration for Children’s Services are Equal Opportunity Employers Committed to Diversity","Click ""Apply Now"" button","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",433303
