jobNum,title,Link,shortCategory,longCategory
"440100","Audit Nurse - 440100","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440100&PostingSeq=1&",067,"ADMINISTRATION FOR CHILDRE"
"436758","Direct Care Worker - 436758","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=436758&PostingSeq=1&",067,"ADMINISTRATION FOR CHILDRE"
"432041","Deputy Commissioner, Child and Family Well-Being - 432041","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432041&PostingSeq=1&",067,"ADMINISTRATION FOR CHILDRE"
"415213","DYFJ Legal Counsel - 415213","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=415213&PostingSeq=1&",067,"ADMINISTRATION FOR CHILDRE"
"415175","Deputy Commissioner for External Affairs - 415175","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=415175&PostingSeq=1&",067,"ADMINISTRATION FOR CHILDRE"
"415181","Deputy Commissioner for the Division of Youth and Family Justice - 415181","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=415181&PostingSeq=1&",067,"ADMINISTRATION FOR CHILDRE"
"400531","Deputy Director for Child Welfare Reporting - 400531","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=400531&PostingSeq=1&",067,"ADMINISTRATION FOR CHILDRE"
"399110","Director of Claiming & Revenue - 399110","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=399110&PostingSeq=1&",067,"ADMINISTRATION FOR CHILDRE"
"378979","Assistant Director of Psychiatry - 378979","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=378979&PostingSeq=1&",067,"ADMINISTRATION FOR CHILDRE"
"367427","Senior Analyst - 367427","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=367427&PostingSeq=1&",067,"ADMINISTRATION FOR CHILDRE"
