jobNum,title,Link,shortCategory,longCategory,Department,Location,Agency,Posted Date
"441206","Cook Helper - 441206","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441206&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","LTD. Secure PlCmnt. - Admin","BRONX","ADMIN FOR CHILDREN'S SVCS","07/13/2020"
"441207","Cook Helper - 441207","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441207&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","LTD. Secure PlCmnt. - Admin","BRONX","ADMIN FOR CHILDREN'S SVCS","07/13/2020"
"440199","Engagement Specialist - 440199","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440199&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Children's Center","MANHATTAN","ADMIN FOR CHILDREN'S SVCS","07/13/2020"
"441222","Stock Worker - 441222","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441222&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","LTD. Secure PlCmnt. - Admin","MANHATTAN","ADMIN FOR CHILDREN'S SVCS","07/13/2020"
"441667","Youth Development Specialist - 441667","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441667&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Crossroads Juvenile Center","BROOKLYN","ADMIN FOR CHILDREN'S SVCS","07/10/2020"
"436758","Direct Care Worker - 436758","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=436758&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Placement Services - FPS","MANHATTAN","ADMIN FOR CHILDREN'S SVCS","03/12/2020"
"432041","Deputy Commissioner, Child and Family Well-Being - 432041","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432041&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Child and Family Well-Being","MANHATTAN","ADMIN FOR CHILDREN'S SVCS","02/04/2020"
"415213","DYFJ Legal Counsel - 415213","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=415213&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","DYFJ Central","MANHATTAN","ADMIN FOR CHILDREN'S SVCS","10/09/2019"
"415175","Deputy Commissioner for External Affairs - 415175","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=415175&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Division of External Affairs","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","10/02/2019"
"415181","Deputy Commissioner for the Division of Youth and Family Justice - 415181","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=415181&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Managers - All","MANHATTAN","ADMIN FOR CHILDREN'S SVCS","10/02/2019"
"400531","Deputy Director for Child Welfare Reporting - 400531","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=400531&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","SRM","MANHATTAN","ADMIN FOR CHILDREN'S SVCS","07/24/2019"
"399110","Director of Claiming & Revenue - 399110","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=399110&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Asst Comm Bdgt & Clmng-Financ","MANHATTAN","ADMIN FOR CHILDREN'S SVCS","06/26/2019"
"378979","Assistant Director of Psychiatry - 378979","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=378979&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Office Of Chld & Fmly Health","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","01/07/2019"
