HiringAgency,jobLink,jobNum,Job_ID,Num_of_Positions,Business_Title,Title_Code_No,Level,Civil_Service_Title,Title_Classification,Job_Category,Proposed_Salary_Range,Career_Level,Work_Location,Division_Work_Unit,Posted,Post_Until
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441206&PostingSeq=1&,441206,441206,2,Cook Helper,81803,00,INSTITUTIONAL AIDE,Non-Competitive,"Health, Social Services","$ 34,612.00 - $ 44,099.00 (Annual)",Experienced (non-manager),560 Brook Avenue Bronx New Yor,LTD. Secure PlCmnt. - Admin,07/13/2020,08/12/2020
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441207&PostingSeq=1&,441207,441207,2,Cook Helper,81803,00,INSTITUTIONAL AIDE,Non-Competitive,"Health, Social Services","$ 34,612.00 - $ 44,099.00 (Annual)",Experienced (non-manager),560 Brook Avenue Bronx New Yor,LTD. Secure PlCmnt. - Admin,07/13/2020,08/12/2020
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440199&PostingSeq=1&,440199,440199,4,Engagement Specialist,56057,00,COMMUNITY ASSOCIATE,Non-Competitive,Social Services,"$ 38,333.00 - $ 45,606.00 (Annual)",Experienced (non-manager),"492 First Avenue, New York, Ny",Children's Center,07/13/2020,08/12/2020
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441222&PostingSeq=1&,441222,441222,2,Stock Worker,12200,01,STOCK WORKER,Competitive,"Building Operations & Maintenance, Social Services","$ 32,480.00 - $ 48,957.00 (Annual)",Experienced (non-manager),17 Bristol Street Brooklyn Ny,LTD. Secure PlCmnt. - Admin,07/13/2020,08/12/2020
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441667&PostingSeq=1&,441667,441667,25,Youth Development Specialist,52287,00,YOUTH DEVELOPMENT SPECIALIST,Competitive,"Public Safety, Inspections, & Enforcement, Social Services","$ 47,393.00 - $ 60,328.00 (Annual)",Experienced (non-manager),17 Bristol Street Brooklyn Ny,Crossroads Juvenile Center,07/10/2020,08/09/2020
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440110&PostingSeq=1&,440110,440110,1,Press Secretary,13400,00,STRATEGIC INITIATIVE SPECIALIS,Exempt,Communications & Intergovernmental Affairs,"$ 40,000.00 - $200,000.00 (Annual)",Manager,"150 William Street, New York N",Division of External Affairs,07/09/2020,08/13/2020
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=436758&PostingSeq=1&,436758,436758,5,Direct Care Worker,5245A,01,CONGREG CARE SPEC-ACS(35 HR WK,Competitive,Social Services,"$ 42,731.00 - $ 47,726.00 (Annual)",Experienced (non-manager),"492 First Avenue, New York, Ny",Placement Services - FPS,03/12/2020,08/29/2020
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432041&PostingSeq=1&,432041,432041,1,"Deputy Commissioner, Child and Family Well-Being",52485,M7,DEPUTY DIRECTOR OF ADMINISTRAT,Non-Competitive,Social Services,"$106,729.00 - $230,000.00 (Annual)",Executive,"66 John Street, New York, Ny",Child and Family Well-Being,02/04/2020,Until Filled
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=415213&PostingSeq=1&,415213,415213,1,DYFJ Legal Counsel,30087,02,AGENCY ATTORNEY,Non-Competitive,Social Services,"$ 71,423.00 - $107,032.00 (Annual)",Experienced (non-manager),"150 William Street, New York N",DYFJ Central,10/09/2019,08/28/2020
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=415175&PostingSeq=1&,415175,415175,1,Deputy Commissioner for External Affairs,95606,M7,DIRECTOR OF PUBLIC INFORMATION,Non-Competitive,Communications & Intergovernmental Affairs,"$175,000.00 - $200,000.00 (Annual)",Manager,"150 William Street, New York N",Division of External Affairs,10/02/2019,Until Filled
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=415181&PostingSeq=1&,415181,415181,1,Deputy Commissioner for the Division of Youth and Family Justice,51581,M7,DEPUTY COMMISSIONER (JUVENILE,Exempt,"Communications & Intergovernmental Affairs, Social Services","$175,000.00 - $200,000.00 (Annual)",Executive,"150 William Street, New York N",Managers - All,10/02/2019,Until Filled
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=400531&PostingSeq=1&,400531,400531,1,Deputy Director for Child Welfare Reporting,21744,02,CITY RESEARCH SCIENTIST,Non-Competitive,Social Services,"$ 73,305.00 - $ 86,288.00 (Annual)",Experienced (non-manager),"150 William Street, New York N",SRM: Elig/Rpt/Sys Spprt-P&P,07/24/2019,Until Filled
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=399110&PostingSeq=1&,399110,399110,1,Director of Claiming & Revenue,1002E,00,ADMINISTRATIVE STAFF ANALYST (,Competitive,"Finance, Accounting, & Procurement","$ 65,107.00 - $125,405.00 (Annual)",Experienced (non-manager),"150 William Street, New York N",Asst Comm Bdgt & Clmng-Financ,06/26/2019,Until Filled
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=378979&PostingSeq=1&,378979,378979,1,Assistant Director of Psychiatry,53047,M4,CITY MEDICAL DIRECTOR,Non-Competitive,Health,"$130,000.00 - $168,000.00 (Annual)",Manager,"150 William Street, New York N",Office Of Chld & Fmly Health,01/07/2019,Until Filled
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=367427&PostingSeq=1&,367427,367427,1,Senior Analyst,1002A,00,ADMINISTRATIVE STAFF ANALYST (,Competitive,"Finance, Accounting, & Procurement","$ 62,862.00 - $ 85,143.00 (Annual)",Experienced (non-manager),"150 William Street, New York N",Asst Comm Bdgt & Clmng-Financ,10/02/2018,Until Filled
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=350249&PostingSeq=1&,350249,350249,1,Analyst,56058,00,COMMUNITY COORDINATOR,Non-Competitive,Social Services,"$ 50,362.00 - $ 78,177.00 (Annual)",Experienced (non-manager),"150 William Street, New York N",SRM: Elig/Rpt/Sys Spprt-P&P,07/27/2018,Until Filled
