HiringAgency,jobLink,jobNum,Job ID,Business Title,Civil Service Title,Title Classification,Job Category,Career Level,Work Location,Division/Work Unit,# of Positions,Title Code No,Level,Proposed Salary Range,POSTING DATE,POST UNTIL
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=424031&PostingSeq=1,424031,424031,Employment Law Unit Agency Attorney,AGENCY ATTORNEY,Non-Competitive,Legal Affairs,Experienced (non-manager),"150 William Street, New York N",Employment Law Unit (Gc),1,30087,03,"$ 79,620.00 - $ 91,563.00 (Annual)",2021-01-05,2021-01-19
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455993&PostingSeq=1,455993,455993,Youth Development Specialist,YOUTH DEVELOPMENT SPECIALIST,Competitive,"Public Safety, Inspections, & Enforcement, Social Services",Experienced (non-manager),17 Bristol Street Brooklyn Ny,Crossroads Juvenile Center,30,52287,00,"$ 47,393.00 - $ 60,328.00 (Annual)",2021-01-05,2021-01-28
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455185&PostingSeq=1,455185,455185,Youth Development Specialist,YOUTH DEVELOPMENT SPECIALIST,Competitive,"Public Safety, Inspections, & Enforcement, Social Services",Experienced (non-manager),17 Bristol Street Brooklyn Ny,Crossroads Juvenile Center,30,52287,00,"$ 47,393.00 - $ 60,328.00 (Annual)",2020-12-23,2021-02-07
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455550&PostingSeq=1,455550,455550,Chief Operating Officer,DIRECTOR OF HEADSTART PROGRAM,Non-Competitive,Social Services,Manager,"66 John Street, New York, Ny",Child and Family Well-Being,1,95666,M5,"$135,000.00 - $150,000.00 (Annual)",2020-12-17,3020-01-01
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=454276&PostingSeq=1,454276,454276,Performance Monitor,PROGRAM EVALUATOR (ACS),Competitive,"Policy, Research & Analysis, Social Services",Experienced (non-manager),"150 William Street, New York N",Not Listed,2,52416,00,"$ 66,442.00 - $ 80,676.00 (Annual)",2020-12-17,2021-02-12
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455441&PostingSeq=1,455441,455441,Deputy Borough Chief,EXECUTIVE AGENCY COUNSEL,Non-Competitive,Legal Affairs,Manager,"150 William Street, New York N",Family Court Legal Svcs-Fcls,2,95005,M1,"$ 58,700.00 - $128,909.00 (Annual)",2020-12-16,2021-01-15
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=451270&PostingSeq=1,451270,451270,Youth Development Specialist,YOUTH DEVELOPMENT SPECIALIST,Competitive,"Public Safety, Inspections, & Enforcement, Social Services",Experienced (non-manager),17 Bristol Street Brooklyn Ny,Crossroads Juvenile Center,25,52287,00,"$ 47,393.00 - $ 60,328.00 (Annual)",2020-10-26,2021-01-24
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440133&PostingSeq=1,440133,440133,"Supervisor, SRU",SUPERVISOR II (SOCIAL SERVICES,Competitive,Social Services,Experienced (non-manager),"66 John Street, New York, Ny",Child and Family Well-Being,1,52312,00,"$ 60,132.00 - $ 69,153.00 (Annual)",2020-07-22,2021-02-10
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432041&PostingSeq=1,432041,432041,"Deputy Commissioner, Child and Family Well-Being",DEPUTY DIRECTOR OF ADMINISTRAT,Non-Competitive,Social Services,Executive,"66 John Street, New York, Ny",Child and Family Well-Being,1,52485,M7,"$106,729.00 - $230,000.00 (Annual)",2020-02-04,3020-01-01
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=430514&PostingSeq=1,430514,430514,"Assistant Commissioner, Business Solutions",COMPUTER SYSTEMS MANAGER,Competitive,Social Services,Manager,"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt",1,10050,M3,"$ 72,038.00 - $192,152.00 (Annual)",2020-01-28,2021-02-22
